,nationality,year,mean_points,sd_points,mean_rank,sd_rank,mean_wins,sd_wins,sum_wins
36,Canadian,2021.0,0.9318181818181818,1.9812813245734673,12.931818181818182,5.315172347389353,0.0,0.0,0.0
37,Canadian,2022.0,0.45454545454545453,1.3717167219683866,14.227272727272727,4.392719327100329,0.0,0.0,0.0
38,Chinese,2022.0,0.2727272727272727,0.8827348295047496,11.818181818181818,5.917177284228267,0.0,0.0,0.0
39,Danish,2014.0,2.8947368421052633,4.544774005408181,9.31578947368421,3.8013540216166164,0.0,0.0,0.0
40,Danish,2016.0,0.3333333333333333,1.3165611772087666,15.047619047619047,5.31484892048862,0.0,0.0,0.0
41,Danish,2017.0,0.95,1.8771478925557026,11.55,5.052097011195085,0.0,0.0,0.0
42,Danish,2018.0,2.6666666666666665,3.582364210034113,9.333333333333334,5.189733454940951,0.0,0.0,0.0
43,Danish,2019.0,0.9523809523809523,2.246690688016276,12.333333333333334,5.471136384091821,0.0,0.0,0.0
44,Danish,2020.0,0.058823529411764705,0.24253562503633297,14.058823529411764,5.738799833537651,0.0,0.0,0.0
45,Danish,2022.0,0.9545454545454546,2.2777865765500698,14.045454545454545,4.735652745547009,0.0,0.0,0.0
46,Dutch,2013.0,0.0,0.0,17.105263157894736,6.1724723737476825,0.0,0.0,0.0
47,Dutch,2015.0,2.5789473684210527,3.790570016848598,9.68421052631579,4.000730927370194,0.0,0.0,0.0
48,Dutch,2016.0,9.714285714285714,7.477585553792461,6.238095238095238,3.618076310759101,0.8095238095238095,0.4023739080814782,17.0
49,Dutch,2017.0,8.4,8.19756061276768,6.15,5.7057219664030905,0.45,0.7591546545162482,9.0
50,Dutch,2018.0,11.857142857142858,7.844015006906312,4.333333333333333,3.825354014118606,0.7619047619047619,0.7003400534570263,16.0
51,Dutch,2019.0,13.238095238095237,7.161736953454531,5.190476190476191,4.388838657538548,1.2380952380952381,1.0910894511799618,26.0
52,Dutch,2020.0,12.588235294117647,9.185986770139422,4.235294117647059,4.867358264047166,0.8235294117647058,0.5285941398709244,14.0
53,Dutch,2021.0,17.65909090909091,9.112244984525418,2.6363636363636362,2.1502038562370367,5.318181818181818,3.1530236982234117,117.0
54,Dutch,2022.0,18.91304347826087,9.718366134088873,3.869565217391304,2.896774818280856,7.043478260869565,4.790883965403512,162.0
55,Finnish,2012.0,5.175,6.9536468941272185,12.6,5.891323476748862,0.075,0.2667467828369185,3.0
56,Finnish,2013.0,4.921052631578948,7.652526800318147,9.368421052631579,5.7676687530535435,0.4473684210526316,0.5038966228735666,17.0
57,Finnish,2014.0,6.342105263157895,6.751481582303826,7.7368421052631575,4.163445886530906,0.0,0.0,0.0
58,Finnish,2015.0,7.526315789473684,5.7503787988283195,6.5,4.144354675420008,0.0,0.0,0.0
59,Finnish,2016.0,6.4523809523809526,5.657726773323324,8.976190476190476,5.18199554385108,0.0,0.0,0.0
60,Finnish,2017.0,12.75,6.511331346002591,3.7,2.2211108331943574,0.75,0.9540735874430285,30.0
61,Finnish,2018.0,11.857142857142858,6.28808951005082,5.309523809523809,4.325128478216319,0.09523809523809523,0.2971017571861746,4.0
62,Finnish,2019.0,8.785714285714286,8.833240198487822,7.595238095238095,5.291776979471505,1.119047619047619,1.2916690082778222,47.0
63,Finnish,2020.0,6.676470588235294,8.834232961285334,7.676470588235294,5.278432895513787,0.7352941176470589,0.8278787617802342,25.0
64,Finnish,2021.0,5.4523809523809526,7.398755270898796,7.261904761904762,5.797642598334738,0.16666666666666666,0.3771954702329121,7.0
65,Finnish,2022.0,2.1363636363636362,3.270291301215412,11.409090909090908,5.170051956164196,0.0,0.0,0.0
66,French,2012.0,1.8983050847457628,4.171723018106701,13.932203389830509,7.073175180237878,0.0,0.0,0.0
67,French,2013.0,1.9078947368421053,4.5641432392916785,14.578947368421053,6.044861526717793,0.0,0.0,0.0
68,French,2014.0,0.6037735849056604,1.5359740412658902,14.433962264150944,4.9633636003538815,0.0,0.0,0.0
69,French,2015.0,2.6842105263157894,3.8737382401520586,10.052631578947368,5.948610334547111,0.0,0.0,0.0
70,French,2016.0,0.9666666666666667,2.5526636977915813,12.733333333333333,5.930245871121535,0.0,0.0,0.0
71,French,2017.0,2.5555555555555554,3.251262381092469,11.222222222222221,4.111452347290481,0.0,0.0,0.0
72,French,2018.0,1.8253968253968254,3.215585445816142,10.88888888888889,5.415363780444669,0.0,0.0,0.0
73,French,2019.0,2.4523809523809526,4.168420072415464,12.119047619047619,5.473672601989882,0.0,0.0,0.0
74,French,2020.0,2.836734693877551,4.9385681915220045,11.775510204081632,5.276778160497373,0.20408163265306123,0.40720550896397784,10.0
75,French,2021.0,4.181818181818182,5.37553773307022,10.0,5.818974576012433,0.2727272727272727,0.4505106334669667,12.0
76,French,2022.0,2.5454545454545454,3.3442386796882557,12.386363636363637,3.648611772262629,0.0,0.0,0.0
77,German,2012.0,4.86,7.269724127426631,10.35,7.2214257525082886,0.57,1.1214618886421277,57.0
78,German,2013.0,8.526315789473685,9.57701927770922,7.828947368421052,5.695350519841572,1.6973684210526316,3.020020913137767,129.0
79,German,2014.0,7.532467532467533,8.099032456158307,8.87012987012987,6.260466287810083,0.7402597402597403,1.4814874939752931,57.0
80,German,2015.0,11.543859649122806,8.793402915657438,5.964912280701754,5.116377458294037,1.4385964912280702,1.5355029871540127,82.0
81,German,2016.0,7.976190476190476,8.621877734816533,7.880952380952381,6.837890116894038,1.4404761904761905,2.791342858058377,121.0
82,German,2017.0,6.293103448275862,8.526550115158162,10.120689655172415,6.751419827819187,1.1206896551724137,1.6970313213094046,65.0
83,German,2018.0,9.261904761904763,8.302393201285835,6.880952380952381,5.856838325274894,1.8333333333333333,2.0943206205804823,77.0
84,German,2019.0,6.595238095238095,7.375171015163215,8.523809523809524,5.411091117767759,0.16666666666666666,0.3771954702329122,7.0
85,German,2020.0,2.15,3.897029908181763,9.85,5.402484808425023,0.0,0.0,0.0
86,German,2021.0,0.9772727272727273,3.2313049877549567,12.340909090909092,5.594611950373705,0.0,0.0,0.0
87,German,2022.0,1.1136363636363635,2.2845884988066216,12.431818181818182,4.390252031080439,0.0,0.0,0.0
88,Indian,2012.0,0.0,0.0,20.75,5.1490929196060184,0.0,0.0,0.0
89,Indonesian,2016.0,0.0,0.0,16.083333333333332,6.41671585970911,0.0,0.0,0.0
90,Italian,2017.0,0.0,0.0,6.5,9.192388155425117,0.0,0.0,0.0
91,Italian,2019.0,0.6666666666666666,2.19848432637882,12.904761904761905,3.576377523483251,0.0,0.0,0.0
92,Italian,2020.0,0.23529411764705882,0.5622957145383871,13.764705882352942,4.943801823555252,0.0,0.0,0.0
93,Italian,2021.0,0.13636363636363635,0.4675625290960757,12.863636363636363,3.8333803874394192,0.0,0.0,0.0
94,Japanese,2012.0,3.0,4.757265910937544,9.95,6.021671388891085,0.0,0.0,0.0
95,Japanese,2014.0,0.0,0.0,16.0625,6.6680206958287105,0.0,0.0,0.0
96,Japanese,2021.0,1.4545454545454546,3.1430539096216403,9.227272727272727,5.82222194684026,0.0,0.0,0.0
97,Japanese,2022.0,0.5454545454545454,1.5032432470296548,11.681818181818182,5.866664207004601,0.0,0.0,0.0
98,Mexican,2012.0,3.3,6.241625968995747,8.1,7.151738838985428,0.0,0.0,0.0
99,Mexican,2013.0,1.4473684210526316,2.6983214844733405,11.263157894736842,5.254003418379302,0.0,0.0,0.0
100,Mexican,2014.0,1.5526315789473684,3.4539234910778003,11.31578947368421,5.695447509446398,0.0,0.0,0.0
101,Mexican,2015.0,4.105263157894737,4.605488716280767,10.736842105263158,2.621325052190164,0.0,0.0,0.0
102,Mexican,2016.0,2.4047619047619047,4.196743940011775,11.952380952380953,4.477327060583493,0.0,0.0,0.0
